AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Augsburg,12.25,10.5,4.5,4.0,12.5,16.75,4.0,2.5,2.0,4.25,0.0,0.0,0.35062893081761004,0.5377358490566038
Bayern Munich,7.25,19.25,2.0,8.5,12.0,10.0,4.25,5.25,1.25,2.75,0.25,0.0,0.16037735849056603,0.9968553459119497
Dortmund,9.8,9.6,3.6,4.2,11.2,13.6,5.0,3.4,2.2,2.2,0.4,0.2,0.37735849056603776,0.720125786163522
Ein Frankfurt,13.4,13.4,6.0,4.2,10.2,10.6,3.4,5.6,2.0,2.6,0.4,0.0,0.3550314465408805,0.8490566037735849
FC Koln,18.6,10.8,5.8,3.2,11.4,8.4,10.4,4.0,1.6,1.8,0.2,0.0,0.5880503144654088,0.270440251572327
Freiburg,13.8,11.4,4.4,3.0,13.8,8.8,3.2,2.8,3.4,1.4,0.0,0.2,0.44245283018867926,0.660377358490566
Hamburg,16.6,11.6,6.4,3.6,12.0,14.2,4.4,4.0,2.0,2.4,0.0,0.6,0.580817610062893,0.01886792452830189
Heidenheim,18.25,10.5,6.75,3.75,11.75,12.0,3.25,5.25,2.25,2.0,0.0,0.0,0.6171383647798743,0.1540880503144654
Hoffenheim,11.0,11.6,3.6,5.2,10.2,15.6,6.4,4.6,1.0,2.2,0.2,0.0,0.5053459119496855,0.60062893081761
Leverkusen,13.75,10.5,4.75,4.25,13.75,9.0,7.0,3.75,3.0,3.25,0.25,0.0,0.5157232704402516,0.3962264150943396
M'gladbach,14.5,12.75,5.75,6.5,12.25,12.75,5.75,5.25,4.0,2.25,0.0,0.0,0.6132075471698113,0.4150943396226415
Mainz,15.75,13.25,6.25,3.25,13.25,12.25,4.25,6.25,2.5,3.25,0.25,0.25,0.4772012578616352,0.610062893081761
RB Leipzig,16.8,15.8,4.2,4.2,10.8,11.4,4.6,6.2,2.2,1.4,0.0,0.0,0.5779874213836478,0.3679245283018868
St Pauli,11.75,12.0,5.25,3.0,11.25,12.25,3.75,3.25,1.5,1.75,0.25,0.0,0.5102201257861635,0.4811320754716981
Stuttgart,12.6,14.4,5.2,4.8,12.2,11.2,5.6,6.6,1.8,2.0,0.2,0.0,0.5559748427672956,0.8176100628930818
Union Berlin,16.5,11.25,5.5,3.25,10.25,11.0,4.5,4.25,2.0,1.25,0.0,0.0,0.6155660377358491,0.2044025157232705
Werder Bremen,20.8,9.4,7.4,4.4,11.6,8.8,7.4,2.6,1.2,1.8,0.0,0.0,0.3949685534591195,0.05345911949685535
Wolfsburg,14.0,11.25,4.25,3.0,9.75,11.5,8.0,3.5,1.5,2.25,0.0,0.0,0.39544025157232704,0.5880503144654088
