AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Angers,15.0,7.833333333333333,6.0,2.3333333333333335,10.333333333333334,9.0,5.833333333333333,3.1666666666666665,1.1666666666666667,1.0,0.0,0.0,0.639412997903564,0.009433962264150943
Auxerre,14.4,10.2,6.6,4.0,12.4,13.4,4.6,4.6,1.2,2.2,0.0,0.2,0.5679245283018868,0.08962264150943396
Brest,14.4,9.6,5.0,2.6,11.8,12.4,7.8,3.4,1.2,2.0,0.0,0.2,0.2735849056603773,0.6509433962264151
Le Havre,13.166666666666666,9.333333333333334,4.333333333333333,2.8333333333333335,13.166666666666666,14.166666666666666,6.333333333333333,3.5,1.5,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.4868972746331237,0.1352201257861635
Lens,16.0,9.4,4.6,2.8,13.6,13.8,4.6,2.8,2.6,2.8,0.2,0.4,0.3773584905660377,0.6446540880503144
Lille,11.0,18.2,4.0,5.8,13.0,13.4,3.2,8.4,2.0,2.8,0.0,0.0,0.3182389937106918,0.8867924528301888
Lorient,10.166666666666666,11.5,4.166666666666667,3.0,16.166666666666668,10.0,4.833333333333333,4.0,2.0,2.3333333333333335,0.0,0.16666666666666666,0.46226415094339623,0.2578616352201258
Lyon,14.0,10.666666666666666,3.8333333333333335,3.8333333333333335,16.333333333333332,15.0,6.333333333333333,6.0,2.6666666666666665,2.1666666666666665,0.3333333333333333,0.5,0.5214884696016772,0.7955974842767296
Marseille,9.833333333333334,14.833333333333334,3.5,4.5,11.5,11.166666666666666,4.333333333333333,5.833333333333333,2.0,2.5,0.3333333333333333,0.3333333333333333,0.46226415094339623,0.9245283018867925
Metz,18.0,9.833333333333334,7.666666666666667,3.3333333333333335,12.0,10.0,7.0,4.666666666666667,1.3333333333333333,1.5,0.0,0.3333333333333333,0.539308176100629,0.07232704402515723
Monaco,16.0,10.8,3.8,3.8,11.4,15.0,5.2,4.2,2.2,3.6,0.2,0.2,0.18742138364779873,0.9622641509433961
Nantes,17.0,10.4,5.4,2.0,13.2,11.8,7.0,3.8,2.2,1.6,0.0,0.0,0.49433962264150944,0.1981132075471698
Nice,18.0,10.0,6.8,2.8,13.0,12.6,5.2,4.6,2.2,2.6,0.0,0.2,0.5477987421383648,0.3144654088050314
Paris FC,12.5,10.5,4.333333333333333,3.6666666666666665,11.5,11.0,5.5,3.3333333333333335,1.5,1.3333333333333333,0.16666666666666666,0.16666666666666666,0.5655136268343816,0.3238993710691824
Paris SG,8.5,15.5,2.5,6.333333333333333,9.166666666666666,9.833333333333334,2.8333333333333335,6.166666666666667,1.1666666666666667,0.8333333333333334,0.0,0.0,0.3107966457023061,0.9905660377358491
Rennes,14.6,9.6,4.8,4.0,12.6,11.4,3.2,5.0,2.8,1.6,0.0,0.4,0.15471698113207547,0.8364779874213838
Strasbourg,12.333333333333334,11.333333333333334,4.666666666666667,3.8333333333333335,13.666666666666666,13.0,4.5,3.0,1.3333333333333333,2.3333333333333335,0.0,0.3333333333333333,0.6451781970649896,0.3364779874213835
Toulouse,13.2,11.2,3.2,3.0,12.8,15.6,5.8,4.8,1.8,3.8,0.2,0.2,0.6018867924528302,0.4528301886792453
