AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AEK,13.5,14.5,4.75,3.5,12.75,17.5,4.0,5.25,3.0,2.5,0.0,0.25,0.3050314465408805,0.9025157232704403
Aris,10.0,11.6,3.6,4.2,14.0,17.2,3.6,6.0,1.8,1.8,0.4,0.0,0.36792452830188677,0.42138364779874216
Asteras Tripolis,16.0,6.2,4.0,2.4,17.0,13.4,6.4,3.0,2.8,3.2,0.0,0.0,0.5562893081761006,0.02515723270440252
Atromitos,17.8,8.0,3.4,2.0,15.2,17.8,4.0,4.4,1.8,3.0,0.0,0.2,0.4050314465408805,0.24528301886792453
Kifisia,12.6,15.6,3.8,6.6,12.8,19.8,3.6,5.6,3.0,4.6,0.4,0.0,0.2040880503144654,0.4276729559748428
Larisa,13.0,12.25,3.25,4.0,13.5,15.75,4.0,3.25,2.0,3.75,0.25,0.25,0.392688679245283,0.1383647798742138
Levadeiakos,15.25,8.5,3.75,3.5,14.25,13.5,5.25,5.5,3.0,2.5,0.0,0.0,0.5644654088050315,0.06446540880503145
OFI Crete,13.333333333333334,11.0,4.0,4.333333333333333,14.0,13.0,4.666666666666667,5.333333333333333,2.3333333333333335,3.0,0.3333333333333333,1.0,0.1079664570230608,0.7814465408805032
Olympiakos,7.25,11.5,3.25,4.25,14.25,16.75,1.75,5.25,3.25,2.0,0.0,0.0,0.4426100628930818,0.949685534591195
PAOK,9.0,13.75,4.0,5.0,12.25,12.25,4.0,3.25,2.75,1.5,0.5,0.0,0.3270440251572327,0.9465408805031447
Panathinaikos,9.25,13.25,2.5,4.25,15.75,17.0,1.75,4.5,3.25,2.5,0.0,0.0,0.20754716981132076,0.9779874213836478
Panetolikos,17.6,8.0,6.6,2.2,12.8,14.0,7.4,2.2,2.2,3.4,0.2,0.6,0.5751572327044026,0.01257861635220126
Panserraikos,23.0,5.75,7.5,1.75,9.25,14.75,10.25,1.0,0.75,2.75,0.0,0.25,0.672562893081761,0.003144654088050315
Volos NFC,11.2,9.0,3.0,4.2,14.6,16.2,6.0,2.0,3.2,3.4,0.0,0.0,0.5437106918238994,0.1069182389937107
