AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Atalanta,12.4,11.4,5.6,3.2,9.0,10.0,4.6,4.2,1.2,1.8,0.0,0.2,0.29748427672955974,0.8742138364779874
Bologna,11.666666666666666,11.166666666666666,3.6666666666666665,3.8333333333333335,14.833333333333334,16.5,3.3333333333333335,5.833333333333333,2.5,2.5,0.16666666666666666,0.16666666666666666,0.3846960167714884,0.7610062893081762
Cagliari,16.0,10.0,5.25,3.0,14.0,14.75,6.75,2.75,2.0,2.5,0.0,0.0,0.30188679245283023,0.169811320754717
Como,12.4,12.6,3.6,3.4,12.2,17.4,4.8,3.6,2.4,2.4,0.0,0.0,0.5833333333333334,0.6477987421383647
Cremonese,20.2,6.8,6.2,2.6,13.8,11.0,8.6,2.0,2.0,2.2,0.2,0.0,0.5911949685534591,0.02830188679245283
Fiorentina,13.6,9.8,4.6,2.0,15.8,14.0,4.6,3.8,2.0,2.0,0.0,0.2,0.4635220125786164,0.3081761006289308
Genoa,13.0,9.25,5.25,3.5,13.75,14.0,6.0,4.0,1.5,3.0,0.25,0.0,0.6336477987421384,0.1226415094339623
Inter,9.6,17.2,2.8,4.2,15.0,13.4,3.6,6.0,2.0,1.6,0.0,0.0,0.49748427672955975,0.9119496855345911
Juventus,11.6,13.4,3.2,4.0,14.0,14.4,3.2,3.2,2.0,2.0,0.0,0.0,0.35471698113207545,0.9339622641509434
Lazio,14.4,8.6,4.4,3.4,14.8,11.2,5.0,1.8,3.8,1.8,0.0,0.0,0.4176100628930818,0.7374213836477987
Lecce,11.4,10.0,4.0,2.6,14.0,13.8,4.6,6.2,1.8,1.6,0.0,0.0,0.389622641509434,0.1477987421383648
Milan,11.5,11.5,3.0,4.25,10.75,7.75,5.0,3.25,1.5,1.25,0.0,0.0,0.45794025157232704,0.889937106918239
Napoli,10.2,16.4,2.4,5.6,11.4,12.2,3.2,6.0,1.4,0.8,0.4,0.0,0.30283018867924527,0.9056603773584906
Parma,16.2,9.8,5.4,3.0,12.6,12.2,5.0,3.2,1.4,2.2,0.2,0.2,0.40754716981132066,0.1792452830188679
Pisa,19.6,9.4,5.8,2.6,11.4,13.8,5.4,2.6,1.2,1.4,0.0,0.2,0.6877358490566038,0.03459119496855346
Roma,11.2,13.2,3.4,5.6,15.4,16.4,4.0,6.2,1.8,2.4,0.4,0.0,0.390251572327044,0.8459119496855345
Sassuolo,13.4,10.0,4.8,4.0,15.4,14.4,5.6,4.0,2.4,2.2,0.0,0.0,0.26100628930817604,0.2405660377358491
Torino,15.0,11.8,4.4,4.4,11.8,15.4,4.6,4.0,2.0,2.4,0.0,0.0,0.6433962264150943,0.1289308176100629
Udinese,15.0,10.2,5.2,3.2,12.4,13.8,7.0,4.2,1.4,2.8,0.0,0.0,0.399685534591195,0.1666666666666667
Verona,13.6,12.2,4.0,4.4,10.4,17.4,5.0,2.8,1.6,2.4,0.0,0.0,0.4880503144654088,0.1132075471698113
