AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AZ Alkmaar,13.166666666666666,18.166666666666668,4.666666666666667,6.333333333333333,10.5,13.5,4.333333333333333,6.166666666666667,1.3333333333333333,3.6666666666666665,0.16666666666666666,0.16666666666666666,0.3275681341719078,0.9308176100628932
Ajax,14.2,15.0,5.2,6.2,12.0,12.4,5.8,5.2,1.2,3.0,0.0,0.0,0.4742138364779874,0.8333333333333334
Excelsior,15.5,12.833333333333334,7.166666666666667,4.666666666666667,8.666666666666666,15.333333333333334,5.5,4.666666666666667,1.0,1.6666666666666667,0.0,0.0,0.4863731656184486,0.3490566037735849
Feyenoord,8.0,17.8,2.8,7.8,11.6,9.2,3.0,7.6,1.6,2.4,0.4,0.2,0.3311320754716981,0.940251572327044
For Sittard,16.833333333333332,9.5,6.5,4.0,10.833333333333334,14.0,7.0,2.8333333333333335,0.6666666666666666,2.1666666666666665,0.0,0.0,0.5461215932914046,0.08490566037735849
Go Ahead Eagles,19.166666666666668,10.166666666666666,5.5,4.0,9.0,9.0,5.0,4.166666666666667,2.1666666666666665,1.3333333333333333,0.16666666666666666,0.16666666666666666,0.4654088050314465,0.5094339622641509
Groningen,13.4,14.2,4.4,7.8,12.2,12.4,5.8,4.4,1.6,2.0,0.0,0.0,0.680503144654088,0.1509433962264151
Heerenveen,11.8,13.8,4.6,4.8,9.6,13.2,5.0,5.8,1.8,2.0,0.2,0.2,0.7286163522012579,0.2924528301886792
Heracles,19.0,9.0,7.0,2.0,8.833333333333334,13.333333333333334,6.5,3.3333333333333335,0.6666666666666666,2.0,0.16666666666666666,0.16666666666666666,0.5484800838574423,0.06918238993710692
NAC Breda,15.0,10.6,6.2,3.6,12.4,14.4,3.2,4.0,1.6,2.0,0.0,0.2,0.6981132075471698,0.0440251572327044
Nijmegen,11.0,15.5,5.333333333333333,6.166666666666667,11.666666666666666,13.0,4.666666666666667,4.5,1.5,1.8333333333333333,0.16666666666666666,0.3333333333333333,0.4192872117400419,0.8270440251572327
PSV Eindhoven,14.6,16.2,4.4,7.6,8.0,11.2,5.2,5.0,0.6,2.0,0.2,0.0,0.3918238993710692,0.9685534591194969
Sparta Rotterdam,16.4,13.2,5.4,4.6,9.6,7.8,7.8,3.2,2.0,2.0,0.2,0.0,0.40408805031446543,0.2672955974842767
Telstar,19.0,12.4,6.8,4.0,8.8,12.0,7.4,5.2,1.6,1.4,0.0,0.0,0.700314465408805,0.006289308176100629
Twente,11.0,15.666666666666666,3.5,5.833333333333333,11.0,14.0,3.5,4.0,2.1666666666666665,2.3333333333333335,0.3333333333333333,0.0,0.29638364779874216,0.8836477987421384
Utrecht,13.8,13.2,5.4,4.6,9.0,10.4,5.8,4.8,1.6,1.4,0.0,0.0,0.4886792452830189,0.5157232704402516
Volendam,21.666666666666668,9.0,7.666666666666667,2.5,10.0,10.5,7.833333333333333,3.3333333333333335,1.1666666666666667,0.8333333333333334,0.0,0.0,0.6226415094339622,0.03773584905660377
Zwolle,18.0,9.666666666666666,6.833333333333333,3.1666666666666665,13.5,11.0,5.5,1.8333333333333333,1.3333333333333333,2.5,0.0,0.16666666666666666,0.4617400419287212,0.19496855345911954
