AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AVS,15.2,9.8,5.0,2.4,10.8,15.0,6.0,4.6,2.6,1.6,0.2,0.2,0.44150943396226416,0.1446540880503145
Alverca,15.0,7.2,5.0,2.6,14.8,13.2,5.8,1.8,3.4,2.6,0.2,0.2,0.400314465408805,0.08176100628930817
Arouca,15.75,7.75,6.75,1.75,11.25,15.0,5.0,2.25,2.25,2.0,0.25,0.5,0.5833333333333334,0.05031446540880503
Benfica,10.4,13.4,3.0,4.4,14.2,13.8,3.6,3.2,3.4,3.2,0.2,0.2,0.25849056603773585,0.9654088050314465
Casa Pia,13.0,9.8,5.0,2.8,15.6,16.0,5.0,4.2,3.0,4.0,0.0,0.0,0.44433962264150945,0.09748427672955975
Estoril,11.8,14.6,3.2,4.4,13.2,13.4,3.4,3.8,2.4,2.4,0.2,0.0,0.1540880503144654,0.5833333333333334
Estrela,12.6,9.4,5.0,3.8,14.8,15.2,5.4,3.0,2.8,2.4,0.4,0.0,0.28050314465408804,0.3333333333333333
Famalicao,10.6,14.0,3.2,3.8,17.6,17.6,3.8,8.0,2.2,3.0,0.4,0.2,0.0949685534591195,0.8930817610062893
Gil Vicente,10.6,14.4,4.0,5.6,14.2,16.8,4.4,6.6,2.8,3.6,0.0,0.4,0.4628930817610063,0.1823899371069182
Guimaraes,12.6,13.4,5.6,3.6,16.0,13.6,3.8,4.4,2.4,1.4,0.2,0.0,0.26886792452830194,0.5833333333333334
Moreirense,15.4,7.2,6.0,2.4,15.4,15.0,4.0,2.6,2.0,2.6,0.0,0.2,0.47547169811320755,0.1886792452830189
Nacional,12.4,9.8,4.4,3.6,10.4,15.2,5.0,4.4,1.8,3.2,0.0,0.2,0.44591194968553455,0.05974842767295598
Porto,12.4,16.0,2.2,6.0,11.2,14.8,3.0,6.6,3.0,2.8,0.0,0.2,0.3191823899371069,0.9559748427672956
Rio Ave,18.4,9.6,5.6,3.6,15.2,16.2,7.4,3.6,2.8,3.0,0.0,0.0,0.3172955974842767,0.20125786163522014
Santa Clara,13.5,11.5,5.25,4.0,15.25,12.0,5.0,4.5,3.25,2.25,0.0,0.25,0.4127358490566038,0.229559748427673
Sp Braga,10.0,14.0,3.2,5.6,15.2,11.6,1.6,5.0,2.8,2.8,0.0,0.0,0.4578616352201258,0.4433962264150944
Sp Lisbon,7.0,20.2,2.0,8.0,15.8,11.8,3.0,8.8,3.6,1.8,0.2,0.0,0.12641509433962267,1.0
Tondela,13.333333333333334,10.833333333333334,6.5,3.8333333333333335,13.166666666666666,15.5,6.166666666666667,4.166666666666667,2.8333333333333335,3.6666666666666665,0.16666666666666666,0.16666666666666666,0.4926624737945493,0.08962264150943396
