AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Aberdeen,12.2,12.0,3.2,2.8,12.6,15.4,5.8,2.8,2.2,3.2,0.0,0.0,0.35314465408805035,0.7295597484276729
Celtic,8.8,14.0,2.6,3.4,11.8,12.0,4.4,7.0,2.6,1.8,0.0,0.0,0.4012578616352201,0.9874213836477989
Dundee,15.166666666666666,8.333333333333334,6.333333333333333,2.0,12.833333333333334,10.0,6.833333333333333,3.1666666666666665,1.8333333333333333,1.6666666666666667,0.16666666666666666,0.0,0.4536163522012579,0.04088050314465409
Dundee United,17.0,10.6,6.0,4.8,9.8,15.6,4.4,2.8,0.8,3.2,0.0,0.2,0.47264150943396227,0.39937106918239
Falkirk,16.2,10.8,7.0,4.8,14.8,14.0,6.0,4.6,1.8,3.0,0.2,0.0,0.48962264150943396,0.1320754716981132
Hearts,10.4,16.2,4.0,5.8,13.6,11.8,5.2,6.4,3.2,2.2,0.0,0.0,0.3468553459119497,0.8679245283018868
Hibernian,12.0,11.0,4.333333333333333,4.333333333333333,12.0,9.333333333333334,5.166666666666667,4.0,1.8333333333333333,1.0,0.0,0.0,0.44549266247379454,0.4559748427672956
Kilmarnock,14.0,10.0,6.0,4.4,11.8,14.4,6.6,4.2,1.6,2.4,0.0,0.0,0.5405660377358491,0.3113207547169811
Livingston,16.0,8.666666666666666,5.833333333333333,3.6666666666666665,12.333333333333334,12.666666666666666,6.333333333333333,5.5,1.5,2.0,0.16666666666666666,0.0,0.4281970649895179,0.1037735849056604
Motherwell,12.4,10.4,6.0,3.0,14.4,11.4,5.6,3.2,2.6,1.2,0.2,0.0,0.4465408805031446,0.2515723270440252
Rangers,12.4,12.2,4.0,4.6,15.0,12.8,4.6,7.2,2.2,3.0,0.0,0.0,0.3852201257861635,0.9591194968553459
St Mirren,12.6,11.4,4.6,2.8,7.6,11.4,6.8,6.2,1.2,1.4,0.0,0.2,0.5345911949685535,0.11006289308176101
