AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Alaves,12.4,9.8,3.4,3.2,13.6,17.4,4.8,5.6,2.2,3.0,0.0,0.0,0.4066037735849057,0.3553459119496855
Ath Bilbao,12.0,11.4,4.4,4.0,13.8,12.2,5.4,5.0,1.6,2.2,0.0,0.4,0.5154088050314465,0.7814465408805031
Ath Madrid,11.6,11.4,3.8,4.4,10.8,12.4,2.6,4.6,1.6,2.0,0.0,0.4,0.35062893081761004,0.9528301886792454
Barcelona,11.166666666666666,19.333333333333332,5.0,7.5,12.333333333333334,9.5,6.166666666666667,6.666666666666667,4.0,2.1666666666666665,0.5,0.16666666666666666,0.26493710691823896,0.9748427672955975
Betis,9.2,15.0,3.4,4.2,14.4,9.8,6.0,6.0,1.4,2.4,0.0,0.0,0.3814465408805031,0.7264150943396226
Celta,14.0,11.2,5.4,4.0,10.4,13.4,5.0,3.8,2.4,2.8,0.2,0.0,0.24025157232704403,0.7547169811320755
Elche,14.5,8.5,4.666666666666667,3.0,15.833333333333334,13.166666666666666,6.333333333333333,2.6666666666666665,2.1666666666666665,2.0,0.0,0.16666666666666666,0.5534591194968553,0.04716981132075473
Espanol,13.8,15.8,4.6,4.2,11.6,13.8,4.4,4.0,2.0,1.2,0.2,0.0,0.46383647798742145,0.160377358490566
Getafe,10.0,7.833333333333333,4.0,2.8333333333333335,13.0,15.166666666666666,4.5,4.166666666666667,1.8333333333333333,2.5,0.0,0.0,0.590146750524109,0.1163522012578616
Girona,19.2,8.6,6.4,4.2,12.2,11.0,9.0,2.6,0.6,2.0,0.0,0.0,0.6773584905660377,0.07547169811320754
Levante,13.666666666666666,11.666666666666666,3.3333333333333335,4.0,12.166666666666666,14.333333333333334,6.5,2.6666666666666665,2.3333333333333335,2.1666666666666665,0.3333333333333333,0.0,0.2581236897274633,0.47798742138364786
Mallorca,14.833333333333334,11.333333333333334,5.166666666666667,4.5,12.5,12.0,6.333333333333333,4.166666666666667,2.1666666666666665,2.1666666666666665,0.16666666666666666,0.16666666666666666,0.5744234800838575,0.07861635220125786
Osasuna,16.8,7.8,6.4,1.8,9.8,11.0,5.0,2.0,1.2,2.0,0.0,0.4,0.7245283018867925,0.05660377358490566
Oviedo,14.8,8.4,5.8,3.6,11.6,14.4,6.6,3.0,2.0,3.2,0.0,0.6,0.4729559748427673,0.1572327044025157
Real Madrid,12.0,19.0,3.4,7.6,17.2,9.6,4.4,5.2,2.8,1.6,0.4,0.2,0.29748427672955974,0.9842767295597484
Sevilla,13.333333333333334,9.0,4.666666666666667,2.8333333333333335,12.166666666666666,14.333333333333334,7.833333333333333,4.166666666666667,0.8333333333333334,3.1666666666666665,0.16666666666666666,0.0,0.5579140461215933,0.2075471698113208
Sociedad,14.6,13.2,4.4,4.6,7.0,16.2,5.0,6.6,2.2,3.0,0.2,0.0,0.4836477987421383,0.2735849056603774
Valencia,16.5,6.5,7.0,2.1666666666666665,12.0,11.5,5.0,3.1666666666666665,1.6666666666666667,1.6666666666666667,0.3333333333333333,0.16666666666666666,0.625,0.09433962264150945
Vallecano,12.857142857142858,11.428571428571429,5.0,3.5714285714285716,9.428571428571429,14.142857142857142,5.285714285714286,5.142857142857143,1.1428571428571428,2.142857142857143,0.14285714285714285,0.0,0.6071428571428571,0.3647798742138365
Villarreal,15.0,9.8,3.4,3.2,12.4,13.0,4.6,3.2,1.8,3.2,0.0,0.2,0.5830188679245283,0.5283018867924528
