HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Anderlecht,17.714285714285715,9.571428571428571,6.285714285714286,2.5714285714285716,14.0,10.857142857142858,6.857142857142857,3.5714285714285716,2.2857142857142856,2.5714285714285716,0.14285714285714285,0.14285714285714285,0.8616352201257863,0.46451033243486073
Antwerp,13.333333333333334,13.0,5.166666666666667,4.833333333333333,10.166666666666666,13.333333333333334,4.5,5.0,2.1666666666666665,2.5,0.16666666666666666,0.3333333333333333,0.2830188679245283,0.6781970649895178
Cercle Brugge,14.857142857142858,15.0,4.714285714285714,5.571428571428571,8.428571428571429,13.142857142857142,3.857142857142857,4.857142857142857,1.4285714285714286,1.7142857142857142,0.0,0.0,0.5220125786163522,0.5026954177897575
Charleroi,9.666666666666666,12.0,3.5,3.6666666666666665,12.333333333333334,14.5,4.333333333333333,5.833333333333333,2.3333333333333335,1.8333333333333333,0.3333333333333333,0.0,0.7028301886792453,0.44706498951781964
Club Brugge,16.333333333333332,12.666666666666666,5.0,4.833333333333333,10.166666666666666,12.166666666666666,6.833333333333333,3.6666666666666665,1.3333333333333333,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.9308176100628932,0.5162473794549266
Dender,9.5,12.833333333333334,3.1666666666666665,3.8333333333333335,9.333333333333334,11.666666666666666,3.0,4.666666666666667,1.0,1.6666666666666667,0.0,0.0,0.1823899371069182,0.590146750524109
Genk,16.5,9.0,5.5,4.5,11.0,14.5,6.333333333333333,3.3333333333333335,1.1666666666666667,3.0,0.16666666666666666,0.3333333333333333,0.8584905660377359,0.43553459119496857
Gent,14.166666666666666,11.166666666666666,4.333333333333333,4.666666666666667,9.833333333333334,10.5,4.333333333333333,5.0,1.3333333333333333,2.3333333333333335,0.0,0.0,0.2610062893081761,0.5047169811320754
Mechelen,11.0,17.166666666666668,4.333333333333333,6.333333333333333,10.666666666666666,12.0,4.333333333333333,6.333333333333333,2.3333333333333335,1.6666666666666667,0.0,0.0,0.539308176100629,0.5204402515723271
Oud-Heverlee Leuven,12.857142857142858,11.0,4.571428571428571,4.0,15.857142857142858,11.714285714285714,3.142857142857143,6.285714285714286,3.0,2.2857142857142856,0.0,0.14285714285714285,0.1918238993710692,0.5884995507637018
RAAL La Louviere,10.0,11.714285714285714,2.4285714285714284,3.857142857142857,11.428571428571429,12.0,4.857142857142857,2.857142857142857,1.7142857142857142,1.4285714285714286,0.0,0.0,0.1226415094339623,0.5269541778975741
St Truiden,15.714285714285714,10.285714285714286,4.857142857142857,3.857142857142857,12.285714285714286,11.571428571428571,4.857142857142857,4.571428571428571,2.0,1.5714285714285714,0.14285714285714285,0.2857142857142857,0.5911949685534591,0.4734950584007188
St. Gilloise,18.333333333333332,7.666666666666667,6.833333333333333,2.0,11.5,10.333333333333334,6.0,3.8333333333333335,1.1666666666666667,2.8333333333333335,0.0,0.5,0.9591194968553459,0.40146750524109015
Standard,11.428571428571429,14.714285714285714,4.428571428571429,4.857142857142857,11.142857142857142,12.714285714285714,5.428571428571429,4.714285714285714,2.5714285714285716,2.857142857142857,0.2857142857142857,0.0,0.2547169811320755,0.5947888589398023
Waregem,12.285714285714286,15.857142857142858,4.714285714285714,4.428571428571429,9.714285714285714,13.571428571428571,3.5714285714285716,7.571428571428571,1.5714285714285714,2.142857142857143,0.14285714285714285,0.0,0.1886792452830189,0.619496855345912
Westerlo,17.285714285714285,9.0,4.714285714285714,3.4285714285714284,10.571428571428571,13.142857142857142,6.285714285714286,4.0,1.1428571428571428,2.142857142857143,0.0,0.0,0.6383647798742137,0.4317160826594789
