HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Augsburg,12.4,13.2,3.2,5.4,11.8,10.8,5.8,4.4,2.6,1.8,0.0,0.2,0.0440251572327044,0.6566037735849056
Bayern Munich,20.0,9.0,9.2,1.6,11.2,10.2,6.2,4.2,2.0,1.4,0.0,0.0,0.9968553459119496,0.3113207547169811
Dortmund,16.25,10.0,5.5,1.75,11.75,9.5,9.25,4.5,1.0,1.25,0.0,0.0,0.9339622641509434,0.3577044025157233
Ein Frankfurt,13.25,10.5,5.5,3.5,10.25,9.25,4.25,2.0,1.25,2.0,0.0,0.0,0.3113207547169811,0.4339622641509434
FC Koln,16.0,12.0,6.0,4.0,10.5,14.0,4.5,4.5,1.75,2.75,0.0,0.5,0.4921383647798742,0.5086477987421384
Freiburg,12.0,11.0,4.0,3.5,9.25,15.25,5.25,3.75,2.5,2.5,0.25,0.0,0.4921383647798742,0.7012578616352201
Hamburg,17.25,13.5,6.5,5.0,12.5,15.0,3.75,5.5,2.75,3.0,0.25,0.0,0.4716981132075472,0.4583333333333333
Heidenheim,12.8,13.4,4.6,4.4,9.8,12.6,4.8,4.2,1.2,3.4,0.2,0.0,0.1320754716981132,0.549685534591195
Hoffenheim,14.5,12.25,5.0,5.75,15.0,9.5,6.75,5.25,1.75,1.75,0.0,0.0,0.1792452830188679,0.5676100628930818
Leverkusen,15.4,11.2,5.2,4.0,10.2,12.4,3.8,4.6,2.4,3.4,0.4,0.2,0.8647798742138365,0.5459119496855346
M'gladbach,11.4,15.8,4.0,5.6,11.4,8.6,5.0,5.0,1.4,1.4,0.2,0.0,0.1069182389937107,0.5157232704402516
Mainz,12.4,13.2,3.0,4.0,14.0,11.4,4.4,3.2,1.6,2.0,0.4,0.0,0.4276729559748428,0.36163522012578614
RB Leipzig,15.75,11.75,6.5,3.0,9.5,10.75,5.25,4.5,1.75,2.25,0.0,0.0,0.9119496855345912,0.31525157232704404
St Pauli,12.6,10.4,5.2,6.4,11.4,12.0,7.6,2.4,2.2,3.0,0.0,0.2,0.2861635220125786,0.5339622641509434
Stuttgart,16.75,10.5,6.75,2.75,10.0,13.0,5.5,5.0,1.75,1.75,0.0,0.0,0.9056603773584906,0.41509433962264153
Union Berlin,13.2,13.4,3.6,5.2,18.6,14.0,6.0,5.4,3.6,2.2,0.2,0.2,0.3962264150943396,0.5025157232704403
Werder Bremen,13.75,11.25,4.5,3.5,9.5,9.75,3.5,3.5,4.0,1.5,0.25,0.0,0.3522012578616352,0.4355345911949685
Wolfsburg,14.0,15.2,4.4,5.6,11.8,11.8,4.2,7.0,1.6,2.6,0.2,0.0,0.48742138364779863,0.5333333333333333
