HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Arsenal,15.4,4.8,4.2,1.2,9.4,11.4,6.6,2.8,0.4,1.4,0.0,0.0,0.9512578616352201,0.3632075471698113
Aston Villa,9.8,11.2,4.2,3.4,9.4,13.8,5.2,5.0,1.6,2.6,0.2,0.0,0.4371069182389937,0.4817610062893082
Bournemouth,12.4,7.2,4.4,2.4,12.2,10.6,5.4,3.2,2.2,2.2,0.0,0.2,0.6808176100628931,0.4613207547169812
Brentford,9.8,15.0,4.6,4.6,11.0,8.8,3.8,4.6,2.4,2.0,0.0,0.0,0.07861635220125786,0.8157232704402515
Brighton,12.2,10.2,5.4,2.6,12.2,11.6,4.2,5.2,1.2,1.8,0.0,0.0,0.4245283018867926,0.5776729559748428
Burnley,5.8,16.8,2.0,5.0,10.0,9.0,2.2,6.4,1.0,1.2,0.0,0.0,0.02515723270440252,0.5025157232704403
Chelsea,14.6,11.4,5.0,3.2,10.8,13.2,7.6,3.2,1.6,2.6,0.2,0.0,0.8081761006289309,0.4817610062893082
Crystal Palace,13.4,9.8,5.2,2.4,9.2,10.8,4.0,4.4,1.2,2.8,0.0,0.0,0.48113207547169806,0.41918238993710694
Everton,13.8,11.2,4.0,4.0,10.6,14.0,5.2,4.4,2.8,2.6,0.0,0.0,0.4622641509433961,0.4663522012578616
Fulham,12.0,9.8,3.2,3.2,13.4,11.2,6.0,6.0,1.4,1.4,0.0,0.2,0.270440251572327,0.5261006289308175
Leeds,15.8,9.0,4.2,2.8,10.0,11.8,5.2,3.2,1.6,2.2,0.0,0.0,0.3364779874213836,0.3833333333333333
Liverpool,14.8,10.4,5.2,2.6,9.2,11.0,4.8,5.4,1.4,2.4,0.0,0.0,0.9009433962264151,0.539622641509434
Man City,15.6,9.2,6.6,3.0,7.2,10.4,8.0,3.0,0.8,2.2,0.0,0.0,0.9465408805031446,0.33459119496855344
Man United,17.4,9.0,6.4,3.0,9.2,13.4,3.6,3.8,1.0,4.0,0.2,0.2,0.6194968553459119,0.5389937106918239
Newcastle,14.0,10.0,5.2,4.6,12.4,14.8,7.2,4.2,1.0,2.8,0.2,0.0,0.5534591194968553,0.520440251572327
Nott'm Forest,14.6,13.6,3.8,5.4,11.0,10.0,6.8,4.6,1.6,1.4,0.0,0.2,0.39937106918239,0.46446540880503145
Sunderland,11.0,11.75,3.5,3.25,9.5,10.5,4.25,4.5,1.25,1.0,0.25,0.0,0.2452830188679245,0.3746069182389937
Tottenham,8.6,13.2,2.8,4.8,13.0,10.2,5.6,6.6,2.2,1.6,0.0,0.0,0.7908805031446541,0.4025157232704403
West Ham,9.8,15.6,4.2,5.2,9.0,8.4,6.0,8.4,1.0,1.6,0.2,0.0,0.11635220125786158,0.6440251572327045
Wolves,11.6,11.8,4.6,5.0,12.8,8.4,3.4,3.8,1.0,1.6,0.0,0.0,0.1525157232704402,0.4286163522012578
