HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Angers,10.4,14.6,3.6,5.0,13.0,10.8,5.2,5.4,1.6,1.2,0.2,0.0,0.160377358490566,0.6062893081761007
Auxerre,10.5,10.333333333333334,2.5,3.1666666666666665,14.166666666666666,16.666666666666668,5.0,4.5,2.5,4.5,0.5,0.3333333333333333,0.1635220125786163,0.5628930817610063
Brest,15.0,11.0,4.666666666666667,4.0,13.166666666666666,10.333333333333334,6.0,3.6666666666666665,1.1666666666666667,1.3333333333333333,0.0,0.3333333333333333,0.1572327044025157,0.5849056603773585
Le Havre,13.2,7.6,4.2,3.0,15.0,13.4,4.2,2.4,1.8,3.2,0.0,0.0,0.2421383647798742,0.5408805031446541
Lens,15.166666666666666,12.5,5.833333333333333,2.8333333333333335,11.333333333333334,11.666666666666666,9.0,6.0,1.8333333333333333,2.5,0.0,0.16666666666666666,0.6698113207547168,0.639937106918239
Lille,16.5,8.833333333333334,4.666666666666667,2.8333333333333335,13.0,13.666666666666666,6.166666666666667,4.666666666666667,2.0,2.0,0.16666666666666666,0.16666666666666666,0.5062893081761006,0.5471698113207547
Lorient,12.8,10.6,5.2,5.2,12.0,13.0,2.6,4.8,2.8,2.0,0.0,0.6,0.03144654088050314,0.8654088050314466
Lyon,13.4,9.4,4.8,2.4,14.6,14.4,6.4,3.6,1.0,2.6,0.0,0.4,0.7641509433962265,0.3591194968553459
Marseille,13.0,8.8,6.8,3.8,14.2,8.8,4.6,2.2,2.2,0.8,0.0,0.4,0.8301886792452831,0.3433962264150944
Metz,7.6,12.4,2.6,4.2,13.0,11.6,3.4,4.2,1.4,1.4,0.2,0.0,0.05974842767295598,0.410062893081761
Monaco,14.166666666666666,9.5,4.166666666666667,2.6666666666666665,11.333333333333334,11.833333333333334,4.333333333333333,4.666666666666667,1.6666666666666667,1.8333333333333333,0.0,0.3333333333333333,0.9182389937106917,0.27253668763102723
Nantes,11.333333333333334,16.0,3.1666666666666665,5.5,11.0,12.5,3.8333333333333335,6.166666666666667,1.6666666666666667,2.8333333333333335,0.0,0.0,0.07547169811320754,0.6396750524109015
Nice,12.0,16.5,4.833333333333333,4.5,12.166666666666666,12.666666666666666,4.833333333333333,7.666666666666667,1.8333333333333333,1.8333333333333333,0.0,0.16666666666666666,0.6572327044025157,0.4578092243186583
Paris FC,15.4,9.6,4.6,3.2,12.4,11.4,6.2,3.4,2.2,2.4,0.2,0.4,0.7075471698113207,0.33207547169811324
Paris SG,19.8,8.6,7.0,3.0,10.8,9.4,7.2,2.0,1.4,1.2,0.0,0.0,0.9905660377358491,0.27893081761006283
Rennes,16.666666666666668,13.333333333333334,5.333333333333333,3.0,13.5,13.166666666666666,5.5,5.0,2.3333333333333335,2.1666666666666665,0.16666666666666666,0.3333333333333333,0.4308176100628931,0.5175576519916142
Strasbourg,13.8,9.2,6.6,2.8,11.0,13.4,4.4,4.2,1.8,2.2,0.2,0.0,0.6855345911949685,0.27138364779874213
Toulouse,14.833333333333334,10.5,4.833333333333333,3.6666666666666665,12.333333333333334,11.666666666666666,4.833333333333333,5.166666666666667,1.3333333333333333,1.6666666666666667,0.0,0.16666666666666666,0.2641509433962264,0.48060796645702303
