HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AEK,17.0,5.8,4.4,2.0,15.8,13.2,5.8,2.0,2.6,1.6,0.2,0.0,0.9512578616352201,0.2188679245283019
Aris,17.25,11.0,4.75,3.75,12.75,14.25,6.0,2.25,1.25,4.0,0.0,0.0,0.7547169811320755,0.2751572327044025
Asteras Tripolis,9.333333333333334,13.0,4.666666666666667,5.0,11.666666666666666,17.0,3.6666666666666665,3.6666666666666665,5.666666666666667,4.333333333333333,0.3333333333333333,0.0,0.1525157232704402,0.5041928721174004
Atromitos,12.0,12.25,3.0,4.5,13.25,16.0,2.5,6.0,2.25,3.0,0.0,0.25,0.4528301886792453,0.26297169811320753
Kifisia,11.0,12.0,4.0,3.5,18.0,18.0,3.75,4.25,3.75,3.5,0.5,0.25,0.003144654088050315,0.578616352201258
Larisa,12.6,17.0,3.8,6.4,14.0,16.6,4.0,6.0,3.6,2.6,0.0,0.0,0.009433962264150943,0.490251572327044
Levadeiakos,15.0,9.8,5.8,3.2,13.0,18.0,5.4,4.6,1.2,2.8,0.2,0.8,0.22955974842767296,0.509119496855346
OFI Crete,10.0,14.75,3.25,5.75,15.25,18.25,3.5,5.25,2.5,2.25,0.25,0.0,0.1761006289308176,0.5102201257861635
Olympiakos,18.6,5.8,6.0,2.2,10.4,13.8,8.4,3.4,1.4,2.8,0.2,0.2,0.9779874213836479,0.2833333333333333
PAOK,17.4,4.4,5.6,1.6,10.6,15.0,6.8,1.4,1.8,3.6,0.0,0.4,0.9371069182389938,0.29056603773584905
Panathinaikos,15.5,5.5,4.25,1.0,15.5,15.0,5.0,2.75,2.0,2.5,0.0,0.0,0.8176100628930818,0.3211477987421384
Panetolikos,9.0,12.5,1.75,3.75,13.0,13.5,3.5,4.75,3.0,3.75,0.25,0.25,0.0660377358490566,0.5279088050314465
Panserraikos,10.8,14.2,1.4,5.4,16.6,15.4,2.2,5.4,2.8,2.4,0.2,0.0,0.02830188679245283,0.42735849056603775
Volos NFC,10.75,11.75,4.25,4.5,13.5,17.5,5.5,4.5,2.5,2.0,0.0,0.0,0.006289308176100629,0.4889937106918239
