HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Avellino,11.0,15.2,4.0,5.2,14.0,17.2,4.8,5.6,2.2,1.8,0.2,0.0,0.3836477987421384,0.5160377358490565
Bari,12.6,13.4,3.8,3.6,14.4,16.2,3.8,4.2,2.0,2.8,0.0,0.2,0.4339622641509434,0.5742138364779874
Carrarese,15.0,13.5,4.333333333333333,3.0,15.5,16.666666666666668,5.5,3.1666666666666665,3.1666666666666665,3.8333333333333335,0.0,0.5,0.4213836477987422,0.605083857442348
Catanzaro,13.333333333333334,12.0,3.3333333333333335,3.3333333333333335,12.166666666666666,18.833333333333332,4.333333333333333,5.0,2.1666666666666665,3.6666666666666665,0.0,0.3333333333333333,0.330188679245283,0.634958071278826
Cesena,13.25,8.5,2.5,2.0,14.75,10.75,4.75,1.75,1.75,2.0,0.25,0.0,0.6949685534591195,0.5094339622641509
Empoli,11.333333333333334,12.833333333333334,4.333333333333333,4.0,16.333333333333332,14.833333333333334,3.8333333333333335,4.833333333333333,2.5,2.1666666666666665,0.16666666666666666,0.16666666666666666,0.5157232704402516,0.6302410901467506
Frosinone,17.8,14.0,5.4,4.0,14.8,18.2,6.6,2.6,1.6,1.6,0.4,0.0,0.5345911949685535,0.6320754716981132
Juve Stabia,13.75,8.25,4.25,2.5,19.5,12.75,6.0,2.25,2.75,1.25,0.0,0.5,0.6477987421383647,0.4988207547169812
Mantova,19.2,16.0,6.8,4.6,13.6,19.8,5.6,5.2,2.2,2.8,0.0,0.0,0.4182389937106918,0.5251572327044025
Modena,15.166666666666666,7.166666666666667,5.666666666666667,2.1666666666666665,15.166666666666666,15.833333333333334,4.5,3.1666666666666665,1.8333333333333333,2.6666666666666665,0.0,0.16666666666666666,0.7704402515723271,0.4863731656184487
Monza,13.833333333333334,8.166666666666666,4.0,2.5,15.833333333333334,14.166666666666666,6.333333333333333,1.8333333333333333,2.0,2.1666666666666665,0.3333333333333333,0.16666666666666666,0.8522012578616353,0.4643605870020964
Padova,10.4,13.6,3.6,4.6,12.4,16.8,3.6,4.8,1.8,2.6,0.0,0.2,0.4968553459119497,0.5427672955974843
Palermo,15.571428571428571,11.142857142857142,5.714285714285714,3.2857142857142856,12.857142857142858,13.857142857142858,5.714285714285714,4.142857142857143,1.7142857142857142,2.2857142857142856,0.14285714285714285,0.0,0.8018867924528302,0.5444743935309974
Pescara,16.5,13.833333333333334,6.0,5.333333333333333,14.0,15.666666666666666,6.0,4.833333333333333,1.3333333333333333,2.0,0.0,0.0,0.16981132075471703,0.6341719077568134
Reggiana,12.8,11.4,4.8,2.2,14.6,14.0,3.4,4.0,2.2,1.6,0.0,0.8,0.1729559748427673,0.6050314465408805
Sampdoria,14.666666666666666,10.666666666666666,4.0,3.6666666666666665,16.666666666666668,14.333333333333334,5.333333333333333,3.6666666666666665,1.5,1.8333333333333333,0.0,0.16666666666666666,0.6509433962264151,0.5167714884696016
Spezia,9.333333333333334,8.666666666666666,3.6666666666666665,3.6666666666666665,16.166666666666668,18.5,4.666666666666667,3.8333333333333335,1.8333333333333333,3.5,0.16666666666666666,0.0,0.7138364779874213,0.5972222222222222
Sudtirol,16.6,13.6,4.2,3.6,16.8,15.8,5.8,4.6,1.6,1.8,0.2,0.0,0.3663522012578616,0.5955974842767295
Venezia,16.4,10.0,5.2,3.6,15.2,18.4,3.8,3.8,1.8,2.2,0.2,0.2,0.7767295597484277,0.5911949685534591
Virtus Entella,17.166666666666668,10.666666666666666,5.166666666666667,3.1666666666666665,16.0,11.166666666666666,8.333333333333334,4.166666666666667,3.0,1.1666666666666667,0.0,0.0,0.6022012578616353,0.4727463312368973
