HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AZ Alkmaar,18.4,12.0,7.2,4.4,8.6,11.8,6.6,3.8,2.0,2.4,0.0,0.2,0.9150943396226415,0.3616352201257862
Ajax,15.333333333333334,12.833333333333334,6.5,4.166666666666667,11.166666666666666,14.166666666666666,6.166666666666667,4.5,1.3333333333333333,1.8333333333333333,0.0,0.16666666666666666,0.9559748427672957,0.2562893081761006
Excelsior,12.4,19.0,3.8,7.4,11.8,10.0,4.0,3.2,1.2,1.4,0.4,0.0,0.03459119496855346,0.628930817610063
Feyenoord,20.0,8.833333333333334,6.5,2.0,8.166666666666666,10.666666666666666,7.833333333333333,2.6666666666666665,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.9433962264150942,0.3238993710691824
For Sittard,15.8,11.6,4.4,4.6,13.2,9.2,5.2,6.2,2.8,1.6,0.0,0.2,0.2987421383647799,0.4081761006289308
Go Ahead Eagles,13.4,16.4,6.0,5.2,9.4,11.8,8.0,6.2,0.8,2.2,0.0,0.2,0.5031446540880503,0.4628930817610063
Groningen,13.833333333333334,10.0,4.666666666666667,3.1666666666666665,10.833333333333334,10.833333333333334,5.5,4.0,2.3333333333333335,2.1666666666666665,0.16666666666666666,0.0,0.4449685534591195,0.4098532494758909
Heerenveen,16.333333333333332,9.333333333333334,5.0,4.166666666666667,8.833333333333334,13.5,6.0,4.5,1.6666666666666667,1.5,0.16666666666666666,0.16666666666666666,0.6918238993710691,0.4418238993710692
Heracles,14.2,18.6,5.6,8.0,11.8,11.4,4.0,6.0,1.2,3.2,0.2,0.2,0.05660377358490566,0.6320754716981132
NAC Breda,13.333333333333334,13.5,4.666666666666667,5.166666666666667,10.333333333333334,13.333333333333334,4.5,4.333333333333333,1.6666666666666667,2.6666666666666665,0.16666666666666666,0.0,0.3238993710691824,0.32337526205450734
Nijmegen,15.0,10.0,7.0,4.8,13.4,17.4,5.2,2.8,1.6,3.6,0.0,0.2,0.3207547169811321,0.6352201257861635
PSV Eindhoven,21.5,10.333333333333334,7.666666666666667,4.333333333333333,10.166666666666666,9.5,7.666666666666667,3.6666666666666665,0.8333333333333334,2.3333333333333335,0.0,0.0,0.9811320754716982,0.3087002096436059
Sparta Rotterdam,11.166666666666666,19.666666666666668,3.8333333333333335,8.0,7.5,10.166666666666666,4.166666666666667,6.833333333333333,1.1666666666666667,2.0,0.16666666666666666,0.0,0.2044025157232705,0.6850104821802935
Telstar,17.0,13.0,7.333333333333333,5.666666666666667,11.166666666666666,12.333333333333334,6.333333333333333,4.333333333333333,1.6666666666666667,1.1666666666666667,0.0,0.0,0.4150943396226415,0.24475890985324947
Twente,18.8,10.0,6.8,4.2,11.6,12.6,5.2,3.6,0.8,1.8,0.2,0.0,0.5786163522012578,0.4
Utrecht,16.0,10.666666666666666,5.833333333333333,4.166666666666667,10.333333333333334,14.5,5.166666666666667,3.0,0.8333333333333334,1.8333333333333333,0.0,0.0,0.8836477987421384,0.28773584905660377
Volendam,12.2,14.4,4.8,3.4,10.0,13.8,3.6,4.8,1.6,2.8,0.0,0.2,0.1037735849056604,0.47547169811320755
Zwolle,7.0,16.0,2.2,6.4,10.0,10.6,3.0,5.0,1.4,1.6,0.4,0.0,0.08176100628930817,0.740880503144654
