HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
AVS,10.2,12.4,2.8,4.6,17.4,14.4,2.6,4.2,2.6,3.4,0.0,0.2,0.01886792452830189,0.4254716981132075
Alverca,10.4,12.6,4.0,4.4,13.4,14.8,2.6,4.4,2.6,2.6,0.2,0.4,0.01257861635220126,0.4528301886792453
Arouca,10.333333333333334,12.5,3.5,4.666666666666667,15.0,14.333333333333334,4.833333333333333,5.666666666666667,3.3333333333333335,2.5,0.16666666666666666,0.16666666666666666,0.2012578616352201,0.41352201257861637
Benfica,17.2,8.6,7.6,3.8,12.2,15.4,7.4,3.4,2.2,2.2,0.0,0.4,0.9937106918238994,0.15062893081761006
Casa Pia,9.4,13.8,3.4,5.0,15.8,17.4,4.0,4.8,2.4,2.4,0.0,0.0,0.11006289308176101,0.5738993710691824
Estoril,11.6,11.0,3.6,3.8,13.2,13.0,3.8,6.0,4.0,1.8,0.0,0.0,0.1257861635220126,0.3534591194968554
Estrela,14.2,10.6,3.4,3.0,13.8,19.6,4.8,3.8,3.0,3.2,0.4,0.4,0.04088050314465409,0.3952830188679245
Famalicao,13.8,11.2,4.8,4.0,19.6,15.8,5.0,5.2,3.2,2.6,0.0,0.0,0.2515723270440252,0.43930817610062894
Gil Vicente,14.25,11.75,4.0,3.0,13.75,15.0,3.5,3.75,1.75,2.75,0.25,0.0,0.2389937106918239,0.5153301886792453
Guimaraes,12.6,14.8,4.0,5.6,15.2,14.2,4.2,3.6,3.4,3.8,0.2,0.0,0.279874213836478,0.45440251572327045
Moreirense,11.0,13.8,4.0,4.2,14.4,12.6,4.8,5.4,3.4,1.6,0.0,0.0,0.09905660377358491,0.38396226415094337
Nacional,11.6,15.8,4.2,4.0,15.2,15.0,5.0,7.6,2.6,3.8,0.6,0.4,0.09433962264150944,0.4628930817610063
Porto,13.0,7.2,5.4,1.4,13.2,10.0,4.8,3.4,3.0,2.6,0.0,0.0,0.940251572327044,0.429874213836478
Rio Ave,9.4,17.8,4.2,6.2,13.0,15.4,3.0,7.2,3.2,2.4,0.4,0.4,0.09119496855345911,0.42641509433962266
Santa Clara,14.0,6.2,4.4,2.2,14.4,18.0,5.8,1.6,3.0,3.8,0.0,0.0,0.8773584905660379,0.16761006289308178
Sp Braga,12.8,7.8,5.4,3.2,9.2,11.2,6.2,3.6,1.2,2.8,0.0,0.0,0.9622641509433961,0.11477987421383648
Sp Lisbon,20.8,8.8,7.6,2.8,11.8,12.4,5.6,2.6,2.0,2.4,0.0,0.2,0.9654088050314465,0.34402515723270444
Tondela,13.75,18.0,4.5,7.0,13.25,13.75,3.0,5.5,2.0,2.0,0.25,0.0,0.05031446540880503,0.702437106918239
