HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Aberdeen,14.0,13.0,4.4,4.6,14.8,11.8,5.8,4.6,2.0,2.6,0.2,0.0,0.3034591194968553,0.34402515723270444
Celtic,20.2,5.4,8.2,2.4,13.8,7.6,9.0,2.0,1.4,1.0,0.0,0.0,1.0,0.21069182389937108
Dundee,7.0,14.8,2.4,4.6,7.4,10.8,3.6,6.8,1.4,1.6,0.2,0.0,0.03773584905660377,0.439622641509434
Dundee United,15.6,15.8,5.6,4.8,11.2,11.0,6.0,7.0,2.2,1.8,0.0,0.2,0.3773584905660378,0.42452830188679247
Falkirk,11.833333333333334,12.166666666666666,4.666666666666667,4.666666666666667,11.166666666666666,13.5,4.166666666666667,4.333333333333333,1.1666666666666667,2.3333333333333335,0.0,0.0,0.4449685534591195,0.37945492662473795
Hearts,15.333333333333334,8.0,7.0,1.6666666666666667,11.5,14.166666666666666,6.0,4.0,2.0,1.5,0.0,0.0,0.7515723270440252,0.4329140461215933
Hibernian,17.2,9.6,7.8,4.0,10.6,14.4,6.4,6.4,1.4,2.4,0.0,0.2,0.779874213836478,0.3767295597484277
Kilmarnock,10.333333333333334,12.333333333333334,3.3333333333333335,3.5,12.333333333333334,14.5,5.166666666666667,5.166666666666667,2.3333333333333335,3.0,0.16666666666666666,0.0,0.07075471698113207,0.47327044025157233
Livingston,8.8,11.8,3.8,4.0,18.2,13.2,3.8,5.2,3.8,1.6,0.0,0.0,0.1352201257861635,0.5333333333333334
Motherwell,13.4,10.0,4.4,4.0,12.2,17.8,4.6,4.4,1.0,3.8,0.0,0.0,0.2578616352201258,0.5062893081761006
Rangers,16.0,8.2,4.8,3.2,12.8,11.4,8.0,2.2,1.6,1.6,0.2,0.0,0.8427672955974843,0.5213836477987421
St Mirren,10.6,13.6,3.8,5.0,13.0,8.6,5.8,4.8,3.0,2.4,0.0,0.0,0.3081761006289308,0.569811320754717
