HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Alaves,13.166666666666666,10.0,3.8333333333333335,3.1666666666666665,14.166666666666666,15.0,6.166666666666667,3.5,1.8333333333333333,2.6666666666666665,0.16666666666666666,0.16666666666666666,0.3427672955974843,0.32337526205450734
Ath Bilbao,13.166666666666666,7.166666666666667,4.0,2.8333333333333335,14.666666666666666,14.666666666666666,5.833333333333333,3.5,1.6666666666666667,3.3333333333333335,0.0,0.16666666666666666,0.9213836477987422,0.19968553459119498
Ath Madrid,14.5,8.0,6.5,2.0,11.333333333333334,11.833333333333334,7.666666666666667,3.1666666666666665,1.8333333333333333,3.5,0.0,0.0,0.8742138364779874,0.36477987421383645
Barcelona,21.2,6.4,8.6,2.4,9.2,11.6,7.4,3.0,0.8,2.0,0.0,0.0,0.9874213836477989,0.12138364779874214
Betis,15.0,12.0,5.333333333333333,3.6666666666666665,8.333333333333334,14.333333333333334,3.8333333333333335,5.333333333333333,1.3333333333333333,3.1666666666666665,0.0,0.16666666666666666,0.610062893081761,0.41640461215932917
Celta,13.0,10.166666666666666,3.6666666666666665,4.0,10.5,12.5,6.166666666666667,4.666666666666667,1.6666666666666667,2.3333333333333335,0.16666666666666666,0.16666666666666666,0.4119496855345912,0.44549266247379454
Elche,13.8,9.4,5.0,2.4,12.6,17.6,4.2,2.4,1.6,2.2,0.0,0.0,0.3034591194968553,0.579559748427673
Espanol,13.333333333333334,13.166666666666666,5.666666666666667,4.333333333333333,12.5,11.5,4.666666666666667,4.166666666666667,2.3333333333333335,3.1666666666666665,0.16666666666666666,0.0,0.2893081761006289,0.3259958071278826
Getafe,9.4,11.4,2.6,4.4,17.0,16.0,4.2,3.8,2.6,2.6,0.4,0.2,0.1855345911949685,0.410062893081761
Girona,9.666666666666666,15.333333333333334,3.5,5.333333333333333,9.833333333333334,14.5,6.166666666666667,4.333333333333333,2.1666666666666665,1.8333333333333333,0.8333333333333334,0.0,0.6022012578616353,0.24371069182389937
Levante,10.0,21.6,3.2,8.0,11.8,11.6,4.0,7.6,1.8,1.6,0.2,0.0,0.0220125786163522,0.761006289308176
Mallorca,11.2,13.8,3.0,5.0,11.2,13.2,3.6,5.6,2.4,1.8,0.4,0.2,0.09905660377358491,0.7031446540880503
Osasuna,11.6,10.4,4.6,3.6,13.4,12.0,3.0,4.2,2.2,2.6,0.0,0.2,0.559748427672956,0.27547169811320754
Oviedo,9.4,19.8,2.6,8.2,8.8,9.8,4.0,7.2,1.8,1.0,0.0,0.0,0.01572327044025157,0.5742138364779874
Real Madrid,20.166666666666668,7.833333333333333,7.5,2.5,11.166666666666666,11.5,6.5,2.1666666666666665,2.1666666666666665,1.6666666666666667,0.16666666666666666,0.5,0.9685534591194968,0.31551362683438156
Sevilla,12.2,10.0,3.4,5.4,16.8,15.8,5.2,3.2,3.4,2.8,0.0,0.0,0.2672955974842767,0.3490566037735849
Sociedad,13.166666666666666,10.166666666666666,4.333333333333333,3.1666666666666665,16.333333333333332,13.833333333333334,7.0,4.0,1.6666666666666667,2.1666666666666665,0.0,0.16666666666666666,0.3899371069182391,0.42950733752620546
Valencia,13.8,11.4,3.8,3.6,12.6,10.0,6.6,5.6,1.4,2.2,0.0,0.4,0.3930817610062893,0.3713836477987421
Vallecano,15.0,9.25,5.5,2.75,12.25,11.0,8.25,5.0,2.25,1.75,0.25,0.0,0.2169811320754717,0.5731132075471699
Villarreal,17.833333333333332,10.166666666666666,6.666666666666667,3.1666666666666665,10.166666666666666,10.0,6.5,3.0,1.3333333333333333,1.5,0.0,0.3333333333333333,0.8805031446540882,0.36032494758909855
