HomeTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home_Percentile,Away_Percentile
Alanyaspor,13.75,10.0,4.25,3.75,12.0,15.25,4.75,2.75,1.75,2.75,0.0,0.0,0.119496855345912,0.6816037735849056
Antalyaspor,12.6,14.8,5.8,5.6,11.8,16.8,5.8,4.2,2.4,3.0,0.4,0.0,0.4685534591194969,0.35911949685534594
Besiktas,14.4,11.4,5.6,4.4,14.6,12.4,5.8,4.8,1.8,3.8,0.4,0.2,0.8962264150943395,0.4415094339622641
Buyuksehyr,11.4,12.2,3.8,4.2,16.4,13.2,5.0,4.8,2.4,3.2,0.0,0.0,0.5440251572327044,0.4591194968553459
Eyupspor,10.6,15.0,4.0,4.2,9.8,13.8,5.6,6.2,2.0,1.4,0.0,0.0,0.08490566037735849,0.620754716981132
Fenerbahce,21.8,6.6,8.4,2.4,12.6,15.4,6.8,1.8,2.4,3.8,0.0,0.4,0.9842767295597484,0.2220125786163522
Galatasaray,20.166666666666668,9.0,7.0,3.5,11.333333333333334,10.833333333333334,6.5,4.166666666666667,0.6666666666666666,2.3333333333333335,0.16666666666666666,0.5,0.9716981132075472,0.41457023060796644
Gaziantep,17.333333333333332,10.166666666666666,5.166666666666667,5.0,12.166666666666666,17.5,6.5,5.0,3.3333333333333335,5.0,0.3333333333333333,0.5,0.220125786163522,0.5094339622641509
Genclerbirligi,12.2,13.8,3.6,4.2,11.2,14.4,5.2,4.0,2.0,2.0,0.2,0.0,0.06289308176100629,0.45094339622641505
Goztep,13.4,11.8,4.0,2.2,18.6,10.0,5.2,5.0,2.4,2.2,0.2,0.2,0.5817610062893082,0.5635220125786163
Karagumruk,11.166666666666666,13.5,2.8333333333333335,6.333333333333333,15.166666666666666,16.833333333333332,3.3333333333333335,5.0,1.8333333333333333,2.8333333333333335,0.0,0.3333333333333333,0.2484276729559748,0.5057651991614256
Kasimpasa,13.4,11.2,2.8,4.4,15.6,13.4,5.4,3.8,2.4,2.4,0.2,0.0,0.1289308176100629,0.5937106918238995
Kayserispor,11.666666666666666,12.0,3.6666666666666665,5.833333333333333,12.5,13.5,5.666666666666667,4.333333333333333,3.1666666666666665,2.0,0.0,0.3333333333333333,0.1383647798742138,0.6567085953878407
Kocaelispor,12.4,11.0,4.8,3.2,13.4,14.6,4.6,4.4,2.4,2.2,0.2,0.0,0.4842767295597484,0.40566037735849053
Konyaspor,16.333333333333332,11.5,5.0,3.1666666666666665,13.5,12.833333333333334,6.5,5.0,3.0,2.6666666666666665,0.16666666666666666,0.0,0.6163522012578616,0.5146750524109015
Rizespor,15.4,12.6,3.0,3.8,14.6,12.8,4.0,4.2,2.6,1.4,0.0,0.0,0.6886792452830188,0.47610062893081756
Samsunspor,14.5,9.333333333333334,4.166666666666667,2.3333333333333335,13.0,12.5,5.333333333333333,3.8333333333333335,1.8333333333333333,2.0,0.0,0.0,0.6352201257861635,0.3522012578616352
Trabzonspor,17.0,10.5,5.666666666666667,3.6666666666666665,12.166666666666666,14.166666666666666,4.666666666666667,5.0,1.6666666666666667,2.1666666666666665,0.0,0.0,0.9276729559748428,0.3558700209643606
